1,2,5,"Kai'Sa","22.6%","50.6%","5.7%","5.7%","0.0054"
2,2,2,"Ezreal","21.2%","48.3%","4.1%","4.1%","0.0016"
3,7,1,"Sylas","19.6%","48.4%","21.3%","21.3%","0.0032"
4,8,2,"Caitlyn","19.0%","49.9%","17.5%","17.5%","0.0016"
5,3,1,"Zed","18.1%","51.7%","54.5%","54.5%","0.0022"
6,1,1,"Jhin","15.7%","51.4%","2.0%","2.0%","0.0021"
7,1,5,"Mordekaiser","14.4%","52.1%","19.0%","19.0%","0.0015"
8,2,3,"Yasuo","13.9%","47.5%","15.0%","15.0%","0.0011"
9,5,4,"Aatrox","13.1%","50.4%","27.9%","27.9%","0.0015"
10,6,4,"Yone","13.0%","48.2%","10.7%","10.7%","0.0013"
11,6,4,"Lux","12.7%","49.8%","3.3%","3.3%","0.0001"
12,7,4,"Irelia","12.4%","49.9%","16.5%","16.5%","0.0024"
13,3,3,"Nami","12.4%","53.0%","3.8%","3.8%","0.0000"
14,3,2,"Dr. Mundo","12.1%","53.6%","7.8%","7.8%","0.0012"
15,3,4,"Lucian","11.9%","49.0%","4.3%","4.3%","0.0027"
16,4,2,"Ashe","11.8%","49.7%","2.4%","2.4%","0.0007"
17,5,4,"Zeri","11.7%","50.1%","4.4%","4.4%","0.0071"
18,5,2,"Varus","11.6%","49.6%","4.7%","4.7%","0.0028"
19,10,5,"Diana","11.5%","50.4%","4.7%","4.7%","0.0016"
20,9,2,"Lee Sin","11.3%","46.1%","4.6%","4.6%","0.0013"
21,9,4,"Akali","11.3%","47.2%","14.9%","14.9%","0.0010"
22,8,2,"Thresh","10.9%","48.7%","2.5%","2.5%","0.0000"
23,9,4,"Lulu","10.9%","50.3%","13.3%","13.3%","0.0000"
24,8,2,"Twitch","10.8%","51.1%","7.7%","7.7%","0.0024"
25,7,1,"Yuumi","10.8%","48.5%","34.5%","34.5%","0.0000"
26,7,3,"Gangplank","10.8%","49.7%","6.9%","6.9%","0.0032"
27,1,4,"Ekko","10.6%","50.7%","7.1%","7.1%","0.0029"
28,2,5,"K'Sante","10.1%","49.6%","16.9%","16.9%","0.0010"
29,1,5,"Samira","9.9%","50.6%","20.4%","20.4%","0.0188"
30,3,1,"Fiora","9.9%","52.3%","35.0%","35.0%","0.0017"
31,4,3,"Vayne","9.8%","50.3%","8.1%","8.1%","0.0064"
32,5,5,"Udyr","9.8%","51.7%","33.7%","33.7%","0.0022"
33,5,5,"Hecarim","9.8%","48.6%","37.0%","37.0%","0.0123"
34,5,2,"Katarina","9.4%","48.3%","8.3%","8.3%","0.0073"
35,5,3,"Karma","9.2%","49.4%","2.8%","2.8%","0.0000"
36,3,1,"Pyke","9.0%","48.9%","12.2%","12.2%","0.0010"
37,4,5,"Darius","8.8%","49.8%","24.0%","24.0%","0.0069"
